email,name,profile_score,ratings_score,search_score
user5707@yahoo.com,Gaurang P.,0,0,0
user5598@hotmail.com,Gayle P.,0,0,0
user5598@hotmail.com,Gayle P.,0,0,0
user5598@hotmail.com,Gayle P.,0,0,0
user5598@hotmail.com,Gayle P.,0,0,0
user9973@hotmail.com,Gwen G.,0,0,0
user9973@hotmail.com,Gwen G.,0,0,0
user9973@hotmail.com,Gwen G.,0,0,0
user9973@hotmail.com,Gwen G.,0,0,0
user5835@yahoo.com,Heather T.,0,0,0
user5835@yahoo.com,Heather T.,0,0,0
user5835@yahoo.com,Heather T.,0,0,0
user5835@yahoo.com,Heather T.,0,0,0
user5835@yahoo.com,Heather T.,0,0,0
user2683@hotmail.com,Herlina S.,0,0,0
user2683@hotmail.com,Herlina S.,0,0,0
user3123@t-mobile.com,Hilary S.,0,0,0
user1233@yahoo.com,Huan H.,0,0,0
user1233@yahoo.com,Huan H.,0,0,0
user1233@yahoo.com,Huan H.,0,0,0
user1233@yahoo.com,Huan H.,0,0,0
user1233@yahoo.com,Huan H.,0,0,0
user1233@yahoo.com,Huan H.,0,0,0
user9866@gmail.com,Ilka A.,0,0,0
user9866@gmail.com,Ilka A.,0,0,0
user9866@gmail.com,Ilka A.,0,0,0
user9866@gmail.com,Ilka A.,0,0,0
user9866@gmail.com,Ilka A.,0,0,0
user9866@gmail.com,Ilka A.,0,0,0
user7759@hotmail.com,Jennifer W.,0,0,0
user7759@hotmail.com,Jennifer W.,0,0,0
user7759@hotmail.com,Jennifer W.,0,0,0
user7736@t-mobile.com,Jenny S.,0,0,0
user7736@t-mobile.com,Jenny S.,0,0,0
user5135@t-mobile.com,Jessica C.,0,0,0
user5135@t-mobile.com,Jessica C.,0,0,0
user5135@t-mobile.com,Jessica C.,0,0,0
user5135@t-mobile.com,Jessica C.,0,0,0
user5135@t-mobile.com,Jessica C.,0,0,0
user5135@t-mobile.com,Jessica C.,0,0,0
user4980@gmail.com,Jessica E.,0,0,0
user4980@gmail.com,Jessica E.,0,0,0
user4980@gmail.com,Jessica E.,0,0,0
user4980@gmail.com,Jessica E.,0,0,0
user4980@gmail.com,Jessica E.,0,0,0
user4980@gmail.com,Jessica E.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user4669@t-mobile.com,Jessica L.,0,0,0
user1943@verizon.net,Joei B.,0,0,0
user1943@verizon.net,Joei B.,0,0,0
user1943@verizon.net,Joei B.,0,0,0
user1943@verizon.net,Joei B.,0,0,0
user6702@hotmail.com,Jordan  R.,0,0,0
user6702@hotmail.com,Jordan  R.,0,0,0
user6702@hotmail.com,Jordan  R.,0,0,0
user5555@gmail.com,Julianna C.,0,0,0
user5555@gmail.com,Julianna C.,0,0,0
user5555@gmail.com,Julianna C.,0,0,0
user5555@gmail.com,Julianna C.,0,0,0
user8738@gmail.com,Julie W.,0,0,0
user8738@gmail.com,Julie W.,0,0,0
user8738@gmail.com,Julie W.,0,0,0
user8738@gmail.com,Julie W.,0,0,0
user8738@gmail.com,Julie W.,0,0,0
user8738@gmail.com,Julie W.,0,0,0
user8738@gmail.com,Julie W.,0,0,0
user1932@yahoo.com,Julie X.,0,0,0
user1932@yahoo.com,Julie X.,0,0,0
user1932@yahoo.com,Julie X.,0,0,0
user1932@yahoo.com,Julie X.,0,0,0
user1932@yahoo.com,Julie X.,0,0,0
user2311@t-mobile.com,Justin K.,0,0,0
user2311@t-mobile.com,Justin K.,0,0,0
user2311@t-mobile.com,Justin K.,0,0,0
user2311@t-mobile.com,Justin K.,0,0,0
user2311@t-mobile.com,Justin K.,0,0,0
user7812@hotmail.com,Kailyn G.,0,0,0
user7812@hotmail.com,Kailyn G.,0,0,0
user7812@hotmail.com,Kailyn G.,0,0,0
user7812@hotmail.com,Kailyn G.,0,0,0
user7812@hotmail.com,Kailyn G.,0,0,0
user6407@t-mobile.com,Kandace L.,0,0,0
user6407@t-mobile.com,Kandace L.,0,0,0
user6407@t-mobile.com,Kandace L.,0,0,0
user4691@hotmail.com,Kathryn S.,0,0,0
user4691@hotmail.com,Kathryn S.,0,0,0
user4691@hotmail.com,Kathryn S.,0,0,0
user4691@hotmail.com,Kathryn S.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user3697@verizon.net,Kathy D.,0,0,0
user1690@verizon.net,Kevin H.,0,0,0
user1690@verizon.net,Kevin H.,0,0,0
user9921@t-mobile.com,Kimberly K.,0,0,0
user9921@t-mobile.com,Kimberly K.,0,0,0
user2424@verizon.net,Kristina M.,0,0,0
user2424@verizon.net,Kristina M.,0,0,0
user2424@verizon.net,Kristina M.,0,0,0
user9371@hotmail.com,Kristy B.,0,0,0
user4739@gmail.com,Lauren B.,0,0,0
user4739@gmail.com,Lauren B.,0,0,0
user4739@gmail.com,Lauren B.,0,0,0
user4739@gmail.com,Lauren B.,0,0,0
user4739@gmail.com,Lauren B.,0,0,0
user4739@gmail.com,Lauren B.,0,0,0
user7442@verizon.net,Leah S.,0,0,0
user7442@verizon.net,Leah S.,0,0,0
user7442@verizon.net,Leah S.,0,0,0
user7442@verizon.net,Leah S.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user7508@t-mobile.com,Leilani R.,0,0,0
user5322@t-mobile.com,Lindsay H.,0,0,0
user7177@verizon.net,Lisa D.,0,0,0
user7177@verizon.net,Lisa D.,0,0,0
user7177@verizon.net,Lisa D.,0,0,0
user7177@verizon.net,Lisa D.,0,0,0
user7177@verizon.net,Lisa D.,0,0,0
user1211@yahoo.com,Lyndsey B.,0,0,0
user1211@yahoo.com,Lyndsey B.,0,0,0
user1211@yahoo.com,Lyndsey B.,0,0,0
user1211@yahoo.com,Lyndsey B.,0,0,0
user4917@t-mobile.com,Mackenzie  S.,0,0,0
user4917@t-mobile.com,Mackenzie  S.,0,0,0
user4917@t-mobile.com,Mackenzie  S.,0,0,0
user4917@t-mobile.com,Mackenzie  S.,0,0,0
user1349@hotmail.com,Magali M.,0,0,0
user1349@hotmail.com,Magali M.,0,0,0
user1349@hotmail.com,Magali M.,0,0,0
user1349@hotmail.com,Magali M.,0,0,0
user2537@hotmail.com,Marita C.,0,0,0
user5760@yahoo.com,Mary A.,0,0,0
user5760@yahoo.com,Mary A.,0,0,0
user5760@yahoo.com,Mary A.,0,0,0
user3091@yahoo.com,Matthew Ryan H.,0,0,0
user8248@t-mobile.com,Maureen  B.,0,0,0
user8248@t-mobile.com,Maureen  B.,0,0,0
user4671@yahoo.com,Meagan M.,0,0,0
user4671@yahoo.com,Meagan M.,0,0,0
user4671@yahoo.com,Meagan M.,0,0,0
user4671@yahoo.com,Meagan M.,0,0,0
user4671@yahoo.com,Meagan M.,0,0,0
user4671@yahoo.com,Meagan M.,0,0,0
user3695@yahoo.com,Megan B.,0,0,0
user9029@t-mobile.com,Melissa C.,0,0,0
user9029@t-mobile.com,Melissa C.,0,0,0
user9029@t-mobile.com,Melissa C.,0,0,0
user9029@t-mobile.com,Melissa C.,0,0,0
user9029@t-mobile.com,Melissa C.,0,0,0
user6860@verizon.net,Michael E.,0,0,0
user6860@verizon.net,Michael E.,0,0,0
user6860@verizon.net,Michael E.,0,0,0
user6860@verizon.net,Michael E.,0,0,0
user6860@verizon.net,Michael E.,0,0,0
user6860@verizon.net,Michael E.,0,0,0
user3971@hotmail.com,Michelle B.,0,0,0
user3971@hotmail.com,Michelle B.,0,0,0
user3971@hotmail.com,Michelle B.,0,0,0
user3971@hotmail.com,Michelle B.,0,0,0
user3971@hotmail.com,Michelle B.,0,0,0
user1777@yahoo.com,Nakisa S.,0,0,0
user1777@yahoo.com,Nakisa S.,0,0,0
user1777@yahoo.com,Nakisa S.,0,0,0
user1777@yahoo.com,Nakisa S.,0,0,0
user1777@yahoo.com,Nakisa S.,0,0,0
user1777@yahoo.com,Nakisa S.,0,0,0
user1777@yahoo.com,Nakisa S.,0,0,0
user2655@verizon.net,Nancy B.,0,0,0
user2655@verizon.net,Nancy B.,0,0,0
user9792@hotmail.com,Nancy O.,0,0,0
user9792@hotmail.com,Nancy O.,0,0,0
user9792@hotmail.com,Nancy O.,0,0,0
user6604@yahoo.com,Nelson M.,0,0,0
user6604@yahoo.com,Nelson M.,0,0,0
user6604@yahoo.com,Nelson M.,0,0,0
user6604@yahoo.com,Nelson M.,0,0,0
user6604@yahoo.com,Nelson M.,0,0,0
user6604@yahoo.com,Nelson M.,0,0,0
user9227@t-mobile.com,Pam L.,0,0,0
user9227@t-mobile.com,Pam L.,0,0,0
user9227@t-mobile.com,Pam L.,0,0,0
user9227@t-mobile.com,Pam L.,0,0,0
user9227@t-mobile.com,Pam L.,0,0,0
user9227@t-mobile.com,Pam L.,0,0,0
user9227@t-mobile.com,Pam L.,0,0,0
user8635@verizon.net,Paul S.,0,0,0
user8635@verizon.net,Paul S.,0,0,0
user8635@verizon.net,Paul S.,0,0,0
user8635@verizon.net,Paul S.,0,0,0
user8635@verizon.net,Paul S.,0,0,0
user8635@verizon.net,Paul S.,0,0,0
user7851@hotmail.com,Rachel  R.,0,0,0
user7851@hotmail.com,Rachel  R.,0,0,0
user9209@hotmail.com,Randal  W.,0,0,0
user9209@hotmail.com,Randal  W.,0,0,0
user9209@hotmail.com,Randal  W.,0,0,0
user9209@hotmail.com,Randal  W.,0,0,0
user9209@hotmail.com,Randal  W.,0,0,0
user9209@hotmail.com,Randal  W.,0,0,0
user8249@yahoo.com,Reagan N.,0,0,0
user8249@yahoo.com,Reagan N.,0,0,0
user8249@yahoo.com,Reagan N.,0,0,0
user8249@yahoo.com,Reagan N.,0,0,0
user7080@verizon.net,Ricky E.,0,0,0
user7080@verizon.net,Ricky E.,0,0,0
user7080@verizon.net,Ricky E.,0,0,0
user7080@verizon.net,Ricky E.,0,0,0
user7080@verizon.net,Ricky E.,0,0,0
user7650@verizon.net,Robert S.,0,0,0
user7650@verizon.net,Robert S.,0,0,0
user7650@verizon.net,Robert S.,0,0,0
user7650@verizon.net,Robert S.,0,0,0
user7650@verizon.net,Robert S.,0,0,0
user7650@verizon.net,Robert S.,0,0,0
user3251@yahoo.com,Robin R.,0,0,0
user3251@yahoo.com,Robin R.,0,0,0
user3251@yahoo.com,Robin R.,0,0,0
user5082@t-mobile.com,Samantha O.,0,0,0
user5082@t-mobile.com,Samantha O.,0,0,0
user5082@t-mobile.com,Samantha O.,0,0,0
user4846@hotmail.com,Sandy O.,0,0,0
user4846@hotmail.com,Sandy O.,0,0,0
user4846@hotmail.com,Sandy O.,0,0,0
user1969@hotmail.com,Shaina Z.,0,0,0
user7582@yahoo.com,Sharon H.,0,0,0
user7582@yahoo.com,Sharon H.,0,0,0
user7582@yahoo.com,Sharon H.,0,0,0
user7784@hotmail.com,Shellie C.,0,0,0
user7784@hotmail.com,Shellie C.,0,0,0
user7784@hotmail.com,Shellie C.,0,0,0
user7784@hotmail.com,Shellie C.,0,0,0
user3341@gmail.com,Stephen W.,0,0,0
user3341@gmail.com,Stephen W.,0,0,0
user3341@gmail.com,Stephen W.,0,0,0
user2644@hotmail.com,Sylvia W.,0,0,0
user2644@hotmail.com,Sylvia W.,0,0,0
user2644@hotmail.com,Sylvia W.,0,0,0
user7137@yahoo.com,Tasha J.,0,0,0
user7137@yahoo.com,Tasha J.,0,0,0
user1075@gmail.com,Terence A.,0,0,0
user1075@gmail.com,Terence A.,0,0,0
user1075@gmail.com,Terence A.,0,0,0
user1075@gmail.com,Terence A.,0,0,0
user1075@gmail.com,Terence A.,0,0,0
user5363@verizon.net,Tessa L.,0,0,0
user5363@verizon.net,Tessa L.,0,0,0
user5363@verizon.net,Tessa L.,0,0,0
user5363@verizon.net,Tessa L.,0,0,0
user5363@verizon.net,Tessa L.,0,0,0
user6074@t-mobile.com,Tony L.,0,0,0
user6074@t-mobile.com,Tony L.,0,0,0
user6074@t-mobile.com,Tony L.,0,0,0
user6074@t-mobile.com,Tony L.,0,0,0
user4215@hotmail.com,Vanessa B.,0,0,0
user4215@hotmail.com,Vanessa B.,0,0,0
user5253@hotmail.com,Wanda C.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user9082@t-mobile.com,Wendy J.,0,0,0
user6217@gmail.com,William P.,0,0,0
user6217@gmail.com,William P.,0,0,0
user6217@gmail.com,William P.,0,0,0
user6217@gmail.com,William P.,0,0,0
